park1,park2,activity similariy,crowdedness similarity Jan,crowdedness similarity Feb,crowdedness similarity Mar,crowdedness similarity Apr,crowdedness similarity May,crowdedness similarity Jun,crowdedness similarity Jul,crowdedness similarity Aug,crowdedness similarity Sep,crowdedness similarity Oct,crowdedness similarity Nov,crowdedness similarity Dec
Badlands NP,Glacier NP,0.6351,0.7737,0.7996,0.5037,0.6266,0.7514,0.7366,0.8343,0.8086,0.6290,0.6716,0.5844,0.6456
Badlands NP,Grand Canyon NP,0.7947,0.4878,0.9501,0.8259,0.7391,0.6989,0.7942,0.8374,0.8418,0.8650,0.6362,0.4144,0.8442
Badlands NP,Grand Teton NP,0.4924,0.8985,0.8432,0.5988,0.7126,0.6504,0.7943,0.8217,0.8393,0.7695,0.7792,0.6362,0.7022
Badlands NP,Great Basin NP,0.6455,0.8620,0.9990,0.9714,0.8780,0.6759,0.8765,0.5859,0.9836,0.9777,0.7592,0.9050,0.9974
Badlands NP,Great Sand Dunes NP & PRES,0.7071,0.8560,0.9997,0.6637,0.6452,0.8868,0.8883,0.6192,0.9945,0.9962,0.7626,0.9022,0.9992
Badlands NP,Great Smoky Mountains NP,0.6944,0.7372,0.7969,0.8473,0.8374,0.8207,0.8301,0.8282,0.7644,0.5731,0.8305,0.5997,0.7169
Badlands NP,Guadalupe Mountains NP,0.7698,0.6484,0.9959,0.8936,0.7582,0.8071,0.9076,0.5780,0.9892,0.9833,0.7522,0.8571,0.9834
Badlands NP,Haleakala NP,0.4714,0.5619,0.9913,0.9079,0.7537,0.9528,0.9733,0.8960,0.9947,0.9935,0.8176,0.7485,0.9852
Badlands NP,Hawaii Volcanoes NP,0.7303,0.5512,0.9715,0.8734,0.7659,0.9096,0.4405,0.8770,0.8828,0.9298,0.8131,0.6535,0.9798
Badlands NP,Hot Springs NP,0.4330,0.5105,0.9882,0.8974,0.7130,0.9578,0.9692,0.9550,0.9977,0.9922,0.8350,0.7774,0.9745
Badlands NP,Indiana Dunes NP,0.5539,0.6728,0.9988,0.8903,0.8253,0.9713,0.9954,0.9787,0.9846,0.9508,0.8727,0.9705,0.9909
Badlands NP,Isle Royale NP,0.4804,0.8445,0.9959,0.8619,0.7807,0.7430,0.8085,0.5508,0.9743,0.9788,0.7620,0.8654,0.9878
Badlands NP,Joshua Tree NP,0.7715,0.6121,0.7544,0.7809,0.7183,0.8831,0.7553,0.7747,0.9561,0.8556,0.6711,0.8832,0.6970
Badlands NP,Katmai NP & PRES,0.3273,0.2455,0.9504,0.4015,0.2626,0.3711,0.5477,0.3005,0.9505,0.8668,0.2556,0.3389,0.8674
Badlands NP,Kenai Fjords NP,0.5052,0.2926,0.9970,0.8557,0.5213,0.8176,0.9523,0.8530,0.9926,0.9872,0.5701,0.7279,0.9906
Badlands NP,Kings Canyon NP,0.6455,0.4868,0.9205,0.4725,0.6247,0.7407,0.6141,0.3848,0.8510,0.8141,0.5904,0.5464,0.8127
Badlands NP,Kobuk Valley NP,0.5222,0.1954,0.9980,0.9237,0.6949,0.7594,0.9233,0.5021,0.9887,0.9830,0.7574,0.7901,0.9937
Badlands NP,Lake Clark NP & PRES,0.5960,0.1654,0.9661,0.4301,0.2244,0.4022,0.6113,0.2922,0.9631,0.9067,0.2216,0.3268,0.9046
